Epoch,Accuracy (Hard Pseudolabels),Accuracy (Conjugate Pseudolabels)
0,0.12629999220371246,0.1210000068
1,0.17409999668598175,0.3560000062
2,0.14509999752044678,0.3330000043
3,0.17569999396800995,0.3200000226
4,0.13989999890327454,0.3160000145
5,0.1711999922990799,0.3930000067
6,0.19619999825954437,0.3870000243
7,0.17109999060630798,0.4210000336
8,0.19429999589920044,0.3690000176
9,0.23709999024868011,0.4890000224
10,0.2556999921798706,0.4340000153
11,0.2361999899148941,0.5040000081
12,0.24549999833106995,0.4150000215
13,0.25849997997283936,0.5010000467
14,0.25999999046325684,0.52700001
15,0.24809999763965607,0.4950000346
16,0.2662000060081482,0.5440000296
17,0.2759000062942505,0.5360000134
18,0.23809999227523804,0.5850000381
19,0.27799999713897705,0.5620000362
20,0.24959999322891235,0.5310000181
21,0.2525999844074249,0.5900000334
22,0.28360000252723694,0.5790000558
23,0.2712000012397766,0.5400000215
24,0.27219998836517334,0.6120000482
25,0.3174999952316284,0.574000001
26,0.23269999027252197,0.6150000095
27,0.30949997901916504,0.5790000558
28,0.29989999532699585,0.6210000515
29,0.3089999854564667,0.5470000505
30,0.2929999828338623,0.5530000329
31,0.282399982213974,0.6140000224
32,0.27889999747276306,0.5910000205
33,0.28459998965263367,0.5410000086
34,0.3264999985694885,0.655000031
35,0.3321000039577484,0.6710000038
36,0.32690000534057617,0.6020000577
37,0.32170000672340393,0.6560000181
38,0.353300005197525,0.6320000291
39,0.3130999803543091,0.6400000453
40,0.33219999074935913,0.6500000358
41,0.3278999924659729,0.6440000534
42,0.3490999937057495,0.6130000353
43,0.3111000061035156,0.5480000377
44,0.35569998621940613,0.6630000472
45,0.30379998683929443,0.6260000467
46,0.3147999942302704,0.6660000086
47,0.3335999846458435,0.6620000601
48,0.34139999747276306,0.6570000052
49,0.3391000032424927,0.6620000601
50,0.34039998054504395,0.6870000362
51,0.34450000524520874,0.6890000105
52,0.33319997787475586,0.6130000353
53,0.3643999993801117,0.6630000472
54,0.33570000529289246,0.7140000463
55,0.3422999978065491,0.6190000176
56,0.33660000562667847,0.6400000453
57,0.32749998569488525,0.6330000162
58,0.33399999141693115,0.6620000601
59,0.34379997849464417,0.6620000601
60,0.36419999599456787,0.5940000415
61,0.3498999774456024,0.628000021
62,0.3549000024795532,0.6780000329
63,0.3577999770641327,0.6800000072
64,0.34139999747276306,0.6430000067
65,0.3409999907016754,0.709000051
66,0.3375999927520752,0.6470000148
67,0.34849998354911804,0.6710000038
68,0.32899999618530273,0.6930000186
69,0.35899999737739563,0.6900000572
70,0.35189998149871826,0.6770000458
71,0.33159998059272766,0.6620000601
72,0.35850000381469727,0.6840000153
73,0.3465999960899353,0.682000041
74,0.3671000003814697,0.7130000591
75,0.37389999628067017,0.6810000539
76,0.35199999809265137,0.6490000486
77,0.3357999920845032,0.625
78,0.36149999499320984,0.709000051
79,0.35099998116493225,0.709000051
80,0.3474999964237213,0.7240000367
81,0.3587999939918518,0.7190000415
82,0.37219998240470886,0.6750000119
83,0.3563999831676483,0.7230000496
84,0.34769999980926514,0.6370000243
85,0.3725999891757965,0.7140000463
86,0.3633999824523926,0.70600003
87,0.35909998416900635,0.6390000582
88,0.36039999127388,0.7250000238
89,0.3637000024318695,0.7110000253
90,0.35929998755455017,0.6950000525
91,0.3617999851703644,0.7430000305
92,0.3553999960422516,0.7330000401
93,0.35989999771118164,0.7270000577
94,0.35169997811317444,0.7220000625
95,0.3734999895095825,0.7350000143
96,0.36059999465942383,0.7370000482
97,0.3667999804019928,0.7190000415
98,0.3531999886035919,0.7190000415
99,0.36649999022483826,0.7450000644
100,0.37299999594688416,0.7320000529
101,0.34599998593330383,0.7430000305
102,0.3772999942302704,0.7410000563
103,0.36910000443458557,0.7490000129
104,0.3725000023841858,0.7190000415
105,0.374099999666214,0.7630000114
106,0.3771999776363373,0.7330000401
107,0.3686999976634979,0.736000061
108,0.36249998211860657,0.7620000243
109,0.3637000024318695,0.7450000644
110,0.37709999084472656,0.6940000057
111,0.37199997901916504,0.7380000353
112,0.3772999942302704,0.6930000186
113,0.3726999759674072,0.7400000095
114,0.37599998712539673,0.7520000339
115,0.3763999938964844,0.7340000272
116,0.3709999918937683,0.7740000486
117,0.3806999921798706,0.7400000095
118,0.38429999351501465,0.7760000229
119,0.37279999256134033,0.7620000243
120,0.37529999017715454,0.7340000272
121,0.3799999952316284,0.7510000467
122,0.3845999836921692,0.753000021
123,0.38599997758865356,0.753000021
124,0.3798999786376953,0.7570000291
125,0.3788999915122986,0.7410000563
126,0.37700000405311584,0.7570000291
127,0.38329997658729553,0.7750000358
128,0.38019999861717224,0.7330000401
129,0.3779999911785126,0.7700000405
130,0.3852999806404114,0.7600000501
131,0.38359999656677246,0.7620000243
132,0.3805999755859375,0.7570000291
133,0.3861999809741974,0.7570000291
134,0.38609999418258667,0.7720000148
135,0.38279998302459717,0.7620000243
136,0.38199999928474426,0.7660000324
137,0.3763999938964844,0.7470000386
138,0.38830000162124634,0.7440000176
139,0.3917999863624573,0.7370000482
140,0.38509997725486755,0.7590000629
141,0.3865000009536743,0.753000021
142,0.38670000433921814,0.7570000291
143,0.38329997658729553,0.7630000114
144,0.3917999863624573,0.7700000405
145,0.38179999589920044,0.7710000277
146,0.3814999759197235,0.7670000196
147,0.3865000009536743,0.7680000067
148,0.38909998536109924,0.7850000262
149,0.3911999762058258,0.7750000358
150,0.3928999900817871,0.7680000067
151,0.3879999816417694,0.7630000114
152,0.3926999866962433,0.77700001
153,0.39169999957084656,0.77700001
154,0.39100000262260437,0.7850000262
155,0.3935000002384186,0.7740000486
156,0.39069998264312744,0.7850000262
157,0.3933999836444855,0.7710000277
158,0.3937000036239624,0.7890000343
159,0.39559999108314514,0.7790000439
160,0.39159998297691345,0.7850000262
161,0.3942999839782715,0.80400002
162,0.39489999413490295,0.7880000472
163,0.39469999074935913,0.7840000391
164,0.39579999446868896,0.7940000296
165,0.39479997754096985,0.7910000086
166,0.3937000036239624,0.8000000119
167,0.3933999836444855,0.7910000086
168,0.3942999839782715,0.7910000086
169,0.3950999975204468,0.7890000343
170,0.39329999685287476,0.7960000634
171,0.3953000009059906,0.7920000553
172,0.39489999413490295,0.7900000215
173,0.3958999812602997,0.7930000424
174,0.3958999812602997,0.7820000648
175,0.3944000005722046,0.7950000167
176,0.39419999718666077,0.7920000553
177,0.39309999346733093,0.7950000167
178,0.39479997754096985,0.7960000634
179,0.3946000039577484,0.7970000505
180,0.3946000039577484,0.8020000458
181,0.39640000462532043,0.8020000458
182,0.3951999843120575,0.8020000458
183,0.39579999446868896,0.8000000119
184,0.3944000005722046,0.8020000458
185,0.39469999074935913,0.7940000296
186,0.39389997720718384,0.7960000634
187,0.39419999718666077,0.7970000505
188,0.3955000042915344,0.7970000505
189,0.39409998059272766,0.7950000167
190,0.39419999718666077,0.7970000505
191,0.39469999074935913,0.7980000377
192,0.39579999446868896,0.7960000634
193,0.3953999876976013,0.8000000119
194,0.3959999978542328,0.8000000119
195,0.3951999843120575,0.7980000377
196,0.39499998092651367,0.7990000248
197,0.39489999413490295,0.7990000248
198,0.3950999975204468,0.7990000248
199,,0.7970000505